/Vx X,/Vx Y
3.537999999999995e-11,0.0587860863341055
3.555999999999995e-11,0.05889505656584669
3.573999999999995e-11,0.05900377648185205
3.591999999999995e-11,0.05911224796011034
3.609999999999995e-11,0.05922047285580903
3.627999999999995e-11,0.0593284530017341
3.645999999999995e-11,0.05943619020863437
3.663999999999995e-11,0.05954368626558326
3.681999999999995e-11,0.0596509429403433
3.699999999999995e-11,0.05975796197970876
3.717999999999995e-11,0.05986474510984819
3.735999999999995e-11,0.05997129403664837
3.753999999999995e-11,0.0600776104460341
3.771999999999995e-11,0.0601836960042843
3.789999999999995e-11,0.06028955235836125
3.807999999999995e-11,0.06039518113620564
3.825999999999995e-11,0.06050058394704987
3.843999999999995e-11,0.06060576238170413
3.861999999999995e-11,0.06071071801285071
3.879999999999995e-11,0.06081545239532648
