/I34/D (Vout=0.92) X,/I34/D (Vout=0.92) Y
0.5183999999999995,7.36277014854659e-13
0.5219999999999996,7.577061642833329e-13
0.5255999999999996,7.794042733993746e-13
0.5291999999999997,8.012581353488545e-13
0.5327999999999997,8.231365372543524e-13
0.5363999999999998,8.448897826218705e-13
0.5399999999999998,8.66350885136804e-13
0.5435999999999999,8.873382565101775e-13
0.5471999999999999,9.076605619789619e-13
0.5508,9.271242382081112e-13
0.5544,9.45543832327074e-13
0.5580000000000001,9.627543431160474e-13
0.5616000000000001,9.786242251532166e-13
0.5652000000000001,9.930666571783657e-13
0.5688000000000002,1.006046458181028e-12
0.5724000000000002,1.017580775620981e-12
0.5760000000000003,1.027733267640178e-12
0.5796000000000003,1.036603312583169e-12
0.5832000000000004,1.044312916270949e-12
0.5868000000000004,1.050994043922924e-12
